transaction_id,customer_id,customer_name,email,purchase_date,product_category,product_name,quantity,unit_price,total_amount,payment_method,shipping_country,customer_age,discount_percent,Unnamed: 14,net_amount,customer_segment,date_month,total_amount_in_usd,Actual_discount_in_dollars,is_repeat_customer,purchase_quarter,month,time,order_value
TRX001,C001,John Smith,john@email.com,2024-01-15,Electronics,Laptop,1,999.99,999.99,Credit Card,USA,28,0,,199.99800000000002,high,2024-01,1999.9600002000002,-999.9700002000002,True,1,January,1,999.99
TRX002,C002,Sarah Johnson,sarah.johnson@mail.com,2024-01-16,Books,Python Guide,3,29.99,89.97,PayPal,Canada,35,10,,17.994,low,2024-01,16.1892018,73.78079819999999,True,1,January,1,89.97
TRX003,C003,Mike Williams,mike@yahoo.com,2024-01-16,Electronics,USB Cable,10,5.99,,Debit Card,USA,40,5,,,low,2024-01,,,True,1,January,1,59.900000000000006
TRX004,C001,John Smith,john.smith@email.com,2024-01-17,Clothing,T-Shirt,2,19.99,39.98,Credit Card,USA,28,0,,7.9959999999999996,low,2024-01,3.196800799999999,36.7831992,True,1,January,1,39.98
TRX005,C004,Emily Chen,emily_c@email.com,2024-01-18,Books,Data Science 101,1,45.0,45.0,Credit Card,UK,42,15,,9.0,low,2024-01,4.05,40.95,False,1,January,1,45.0
TRX006,C005,Robert Brown,robert@email.com,2024-01-19,Electronics,Monitor,1,349.99,,PayPal,USA,51,10,,,low,2024-01,,,False,1,January,1,349.99
TRX007,C002,Sarah Johnson,sarah@email.com,2024-01-20,Clothing,Jeans,1,79.99,79.99,Credit Card,Canada,35,20,,15.998,low,2024-01,12.796800199999998,67.1931998,True,1,January,1,79.99
TRX008,C006,Jessica Martinez,j.martinez@email.com,2024-01-21,Home,Coffee Maker,1,89.99,89.99,Debit Card,USA,29,0,,17.998,low,2024-01,16.1964002,73.7935998,False,1,January,1,89.99
TRX009,C007,David Lee,david.lee@hotmail.com,2024-01-22,Electronics,Headphones,2,149.99,299.98,Credit Card,USA,33,0,,59.99600000000001,medium,2024-01,179.97600080000004,120.00399919999998,False,1,January,1,299.98
TRX010,C003,Mike Williams,mike.williams@email.com,2024-01-23,Books,The Art of Code,1,55.0,55.0,PayPal,USA,34,0,,11.0,low,2024-01,6.05,48.95,True,1,January,1,55.0
TRX011,C008,Anna Garcia,anna_garcia@email.com,2024-01-24,Clothing,Dress,3,59.99,179.97,Credit Card,France,26,12,,35.994,medium,2024-01,64.7784018,115.1915982,False,1,January,1,179.97
TRX012,C009,Christopher White,chris@email.com,2024-01-25,Electronics,Keyboard,1,99.99,99.99,Credit Card,Germany,45,5,,19.998,low,2024-01,19.9960002,79.9939998,False,1,January,1,99.99
TRX013,C010,Laura Martinez,laura@email.com,2024-01-26,Home,Blender,1,129.99,129.99,PayPal,USA,38,25,,25.998000000000005,medium,2024-01,33.79480020000001,96.1951998,False,1,January,1,129.99
TRX014,C002,Sarah Johnson,sarah.j@email.com,2024-01-27,Books,Machine Learning Basics,2,65.0,130.0,Debit Card,Canada,35,0,,26.0,medium,2024-01,33.800000000000004,96.19999999999999,True,1,January,1,130.0
TRX015,C011,Michael Johnson,michael.j@email.com,2024-01-28,Electronics,Monitor,1,349.99,349.99,Credit Card,USA,41,0,,69.998,medium,2024-01,244.98600020000003,105.00399979999997,False,1,January,1,349.99
